R,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1.0, 237 | 1 , 115 | 2 , 47 | 1 , 168 | 2 , 37 | 2 , 203 | 2 , 25 | 1 , 145 | 1 , 109 | 1 , 189 | 2 , 237 | 2 , 86 | 1 , 57 | 1 , 224 | 2 , 198 | 2 , 34 | 2 , 111 | 1 , 205 | 1 , 176 | 1 , 197 | 2 , 26 | 1 , 238 | 1 
2.0, 11 | 2 , 158 | 1 , 179 | 1 , 72 | 1 , 13 | 1 , 78 | 2 , 162 | 2 , 45 | 1 , 129 | 2 , 4 | 1 , 157 | 1 , 200 | 1 , 124 | 2 , 15 | 2 , 172 | 1 , 137 | 1 , 47 | 2 , 167 | 1 , 121 | 1 , 62 | 1 , 187 | 2 , 71 | 2 
3.0, 103 | 1 , 131 | 1 , 6 | 1 , 91 | 1 , 196 | 2 , 236 | 1 , 98 | 1 , 210 | 1 , 73 | 1 , 142 | 1 , 90 | 1 , 27 | 2 , 147 | 1 , 107 | 1 , 216 | 2 , 191 | 1 , 80 | 2 , 214 | 1 , 97 | 1 , 18 | 1 , 221 | 2 , 44 | 1 
4.0, 192 | 2 , 211 | 1 , 185 | 1 , 41 | 1 , 143 | 2 , 53 | 1 , 156 | 2 , 83 | 2 , 171 | 2 , 105 | 1 , 219 | 1 , 181 | 1 , 38 | 2 , 77 | 1 , 118 | 2 , 30 | 2 , 178 | 2 , 153 | 1 , 40 | 2 , 125 | 2 , 143 | 1 , 1 | 2 
5.0, 35 | 1 , 148 | 1 , 28 | 1 , 164 | 1 , 16 | 2 , 235 | 1 , 193 | 1 , 132 | 2 , 14 | 2 , 61 | 2 , 160 | 2 , 114 | 1 , 226 | 1 , 195 | 2 , 165 | 1 , 102 | 2 , 123 | 2 , 22 | 2 , 225 | 2 , 182 | 2 , 163 | 2 , 119 | 2 
6.0, 59 | 1 , 117 | 1 , 201 | 2 , 104 | 2 , 225 | 1 , 58 | 2 , 215 | 2 , 36 | 1 , 232 | 1 , 2 | 2 , 128 | 2 , 48 | 2 , 140 | 1 , 94 | 1 , 209 | 2 , 84 | 1 , 144 | 2 , 170 | 1 , 32 | 2 , 89 | 2 , 199 | 2 , 58 | 1 
7.0, 21 | 1 , 49 | 2 , 126 | 1 , 74 | 1 , 207 | 2 , 234 | 1 , 151 | 2 , 204 | 1 , 112 | 2 , 87 | 1 , 154 | 1 , 9 | 2 , 175 | 1 , 20 | 2 , 42 | 2 , 186 | 1 , 50 | 1 , 220 | 2 , 155 | 2 , 54 | 1 , 3 | 1 , 135 | 1 
8.0, 84 | 2 , 152 | 2 , 12 | 1 , 176 | 2 , 89 | 1 , 68 | 1 , 46 | 1 , 138 | 2 , 26 | 2 , 212 | 2 , 56 | 1 , 188 | 1 , 228 | 2 , 136 | 1 , 100 | 2 , 149 | 2 , 24 | 1 , 95 | 2 , 202 | 2 , 108 | 1 , 222 | 1 , 204 | 2 
9.0, 209 | 1 , 33 | 1 , 99 | 1 , 220 | 1 , 113 | 2 , 233 | 1 , 119 | 1 , 197 | 1 , 177 | 2 , 134 | 1 , -5 | 2 , 218 | 2 , 60 | 2 , 194 | 1 , 66 | 1 , 122 | 1 , 75 | 2 , 133 | 2 , 39 | 1 , 10 | 1 , 127 | 1 , 35 | 2 
10.0, 79 | 1 , 146 | 2 , 43 | 2 , 184 | 1 , 54 | 2 , 141 | 2 , 62 | 2 , 82 | 2 , 206 | 2 , 96 | 1 , 29 | 2 , 183 | 2 , 11 | 1 , 158 | 2 , 5 | 1 , 88 | 2 , 217 | 1 , 180 | 2 , 117 | 2 , 159 | 1 , 23 | 1 , 98 | 2 
11.0, 39 | 2 , 107 | 2 , 64 | 1 , 7 | 2 , 173 | 2 , 227 | 1 , 17 | 1 , 125 | 1 , 229 | 1 , 44 | 2 , 71 | 1 , 52 | 1 , 93 | 1 , 211 | 2 , 174 | 2 , 21 | 2 , 139 | 2 , 16 | 1 , 79 | 2 , 184 | 2 , -5 | 2 , 238 | 2 
12.0, 239 | 1 , 50 | 2 , 180 | 1 , 153 | 2 , 101 | 2 , 69 | 2 , 182 | 1 , 163 | 1 , 76 | 1 , 187 | 1 , 223 | 2 , 115 | 1 , 179 | 2 , 230 | 2 , 49 | 1 , 192 | 1 , 99 | 2 , 130 | 2 , 110 | 1 , 208 | 2 , 85 | 2 , 150 | 1 
13.0, 169 | 1 , 130 | 1 , 217 | 2 , 92 | 2 , 123 | 1 , 32 | 1 , 150 | 2 , 51 | 1 , 111 | 2 , 1 | 1 , 103 | 2 , 37 | 1 , 131 | 2 , 13 | 2 , 201 | 1 , 145 | 2 , 64 | 2 , 28 | 2 , 55 | 2 , 190 | 2 , 120 | 1 , 8 | 1 
14.0, 194 | 2 , 66 | 2 , 42 | 1 , 231 | 2 , 199 | 1 , 224 | 1 , 127 | 2 , 8 | 2 , 34 | 1 , 168 | 1 , 18 | 2 , 203 | 1 , 59 | 2 , 109 | 2 , 25 | 2 , 74 | 2 , 236 | 2 , 213 | 2 , 173 | 1 , 227 | 2 , 17 | 2 , 160 | 1 
15.0, 88 | 1 , 106 | 1 , 190 | 1 , 213 | 1 , 167 | 2 , 144 | 1 , -5 | 2 , 189 | 1 , 72 | 2 , 135 | 2 , 78 | 1 , 162 | 1 , 91 | 2 , 148 | 2 , 185 | 2 , 53 | 2 , 157 | 2 , 70 | 2 , 151 | 1 , 200 | 2 , 141 | 1 , 212 | 1 
16.0, 174 | 1 , 31 | 2 , 155 | 1 , 22 | 1 , 116 | 1 , 85 | 1 , 65 | 1 , 108 | 2 , 172 | 2 , 45 | 2 , 124 | 1 , 221 | 1 , 137 | 2 , 67 | 1 , 15 | 1 , 126 | 2 , 235 | 2 , 43 | 1 , 116 | 2 , 63 | 1 , 231 | 1 , 112 | 1 
17.0, 55 | 1 , 219 | 2 , 81 | 2 , 208 | 1 , 3 | 2 , 133 | 1 , 10 | 2 , 38 | 1 , 216 | 1 , 97 | 2 , 30 | 1 , 178 | 1 , 104 | 1 , 210 | 2 , 169 | 2 , 83 | 1 , 191 | 2 , 7 | 1 , 33 | 2 , 129 | 1 , 154 | 2 , 82 | 1 
18.0, 230 | 1 , 188 | 2 , 122 | 2 , 95 | 1 , 222 | 2 , 105 | 2 , 159 | 2 , 90 | 2 , 6 | 2 , 165 | 2 , 196 | 1 , 214 | 2 , 40 | 1 , 121 | 2 , 4 | 2 , 132 | 1 , 234 | 2 , 73 | 2 , 166 | 2 , 101 | 1 , 56 | 2 , 134 | 2 
19.0, 198 | 1 , 86 | 2 , 60 | 1 , 139 | 1 , 193 | 2 , 77 | 2 , 20 | 1 , 57 | 2 , 205 | 2 , 226 | 2 , 147 | 2 , 80 | 1 , 152 | 1 , 61 | 1 , 142 | 2 , 46 | 2 , 118 | 1 , 41 | 2 , 87 | 2 , 206 | 1 , 76 | 2 , 229 | 2 
20.0, 48 | 1 , 23 | 2 , 166 | 1 , 70 | 1 , 128 | 1 , 36 | 2 , 100 | 1 , 149 | 1 , 120 | 2 , 181 | 2 , 94 | 2 , 2 | 1 , 171 | 1 , 27 | 1 , 114 | 2 , 12 | 2 , 233 | 2 , 177 | 1 , 106 | 2 , 170 | 2 , 96 | 2 , 29 | 1 
21.0, 67 | 2 , 93 | 2 , 218 | 1 , 5 | 2 , 161 | 1 , 215 | 1 , 136 | 2 , 195 | 1 , -5 | 2 , 140 | 2 , 24 | 2 , 186 | 2 , 14 | 1 , 102 | 1 , 156 | 1 , 31 | 1 , 81 | 1 , 146 | 1 , 9 | 1 , 51 | 2 , 161 | 2 , 65 | 2 
22.0, 239 | 2 , 52 | 2 , 19 | 2 , 202 | 1 , 183 | 1 , 110 | 2 , 63 | 2 , 175 | 2 , 75 | 1 , 232 | 2 , 68 | 2 , 240 | 1 , 164 | 2 , 228 | 1 , 138 | 1 , 207 | 1 , 19 | 1 , 69 | 1 , 113 | 1 , 92 | 1 , 223 | 1 , 240 | 2 
