,R,C,Time,Rank,Order
264,13.0,10.0,10.0,1.0, 1 | 1 
83,4.0,22.0,11.0,2.0, 1 | 2 
417,20.0,12.0,21.0,3.0, 2 | 1 
114,6.0,10.0,22.0,4.0, 2 | 2 
146,7.0,21.0,32.0,5.0, 3 | 1 
345,17.0,5.0,33.0,6.0, 3 | 2 
28,2.0,10.0,43.0,7.0, 4 | 1 
377,18.0,15.0,44.0,8.0, 4 | 2 
205,10.0,15.0,54.0,9.0, 5 | 1 
430,21.0,4.0,55.0,10.0, 5 | 2 
43,3.0,3.0,65.0,11.0, 6 | 1 
371,18.0,9.0,66.0,12.0, 6 | 2 
358,17.0,18.0,76.0,13.0, 7 | 1 
216,11.0,4.0,77.0,14.0, 7 | 2 
276,13.0,22.0,87.0,15.0, 8 | 1 
284,14.0,8.0,88.0,16.0, 8 | 2 
445,21.0,19.0,98.0,17.0, 9 | 1 
137,7.0,12.0,99.0,18.0, 9 | 2 
188,9.0,20.0,109.0,19.0, 10 | 1 
347,17.0,7.0,110.0,20.0, 10 | 2 
203,10.0,13.0,120.0,21.0, 11 | 1 
19,2.0,1.0,121.0,22.0, 11 | 2 
150,8.0,3.0,131.0,23.0, 12 | 1 
421,20.0,16.0,132.0,24.0, 12 | 2 
23,2.0,5.0,142.0,25.0, 13 | 1 
268,13.0,14.0,143.0,26.0, 13 | 2 
439,21.0,13.0,153.0,27.0, 14 | 1 
91,5.0,9.0,154.0,28.0, 14 | 2 
334,16.0,15.0,164.0,29.0, 15 | 1 
32,2.0,14.0,165.0,30.0, 15 | 2 
230,11.0,18.0,175.0,31.0, 16 | 1 
88,5.0,5.0,176.0,32.0, 16 | 2 
219,11.0,7.0,186.0,33.0, 17 | 1 
296,14.0,21.0,187.0,34.0, 17 | 2 
59,3.0,20.0,197.0,35.0, 18 | 1 
287,14.0,11.0,198.0,36.0, 18 | 2 
463,22.0,17.0,208.0,37.0, 19 | 1 
450,22.0,3.0,209.0,38.0, 19 | 2 
390,19.0,7.0,219.0,39.0, 20 | 1 
139,7.0,14.0,220.0,40.0, 20 | 2 
127,7.0,1.0,230.0,41.0, 21 | 1 
228,11.0,16.0,231.0,42.0, 21 | 2 
323,16.0,4.0,241.0,43.0, 22 | 1 
100,5.0,18.0,242.0,44.0, 22 | 2 
211,10.0,21.0,252.0,45.0, 23 | 1 
407,20.0,2.0,253.0,46.0, 23 | 2 
164,8.0,17.0,263.0,47.0, 24 | 1 
437,21.0,11.0,264.0,48.0, 24 | 2 
5,1.0,7.0,274.0,49.0, 25 | 1 
291,14.0,15.0,275.0,50.0, 25 | 2 
18,1.0,21.0,285.0,51.0, 26 | 1 
156,8.0,9.0,286.0,52.0, 26 | 2 
419,20.0,14.0,296.0,53.0, 27 | 1 
51,3.0,12.0,297.0,54.0, 27 | 2 
86,5.0,3.0,307.0,55.0, 28 | 1 
272,13.0,18.0,308.0,56.0, 28 | 2 
426,20.0,22.0,318.0,57.0, 29 | 1 
201,10.0,11.0,319.0,58.0, 29 | 2 
351,17.0,11.0,329.0,59.0, 30 | 1 
77,4.0,16.0,330.0,60.0, 30 | 2 
442,21.0,16.0,340.0,61.0, 31 | 1 
321,16.0,2.0,341.0,62.0, 31 | 2 
260,13.0,6.0,351.0,63.0, 32 | 1 
123,6.0,19.0,352.0,64.0, 32 | 2 
171,9.0,2.0,362.0,65.0, 33 | 1 
359,17.0,19.0,363.0,66.0, 33 | 2 
285,14.0,9.0,373.0,67.0, 34 | 1 
13,1.0,16.0,374.0,68.0, 34 | 2 
84,5.0,1.0,384.0,69.0, 35 | 1 
190,9.0,22.0,385.0,70.0, 35 | 2 
112,6.0,8.0,395.0,71.0, 36 | 1 
411,20.0,6.0,396.0,72.0, 36 | 2 
266,13.0,12.0,406.0,73.0, 37 | 1 
3,1.0,5.0,407.0,74.0, 37 | 2 
348,17.0,8.0,417.0,75.0, 38 | 1 
74,4.0,13.0,418.0,76.0, 38 | 2 
187,9.0,19.0,428.0,77.0, 39 | 1 
213,11.0,1.0,429.0,78.0, 39 | 2 
375,18.0,13.0,439.0,79.0, 40 | 1 
80,4.0,19.0,440.0,80.0, 40 | 2 
65,4.0,4.0,450.0,81.0, 41 | 1 
401,19.0,18.0,451.0,82.0, 41 | 2 
279,14.0,3.0,461.0,83.0, 42 | 1 
140,7.0,15.0,462.0,84.0, 42 | 2 
336,16.0,18.0,472.0,85.0, 43 | 1 
193,10.0,3.0,473.0,86.0, 43 | 2 
61,3.0,22.0,483.0,87.0, 44 | 1 
222,11.0,10.0,484.0,88.0, 44 | 2 
26,2.0,8.0,494.0,89.0, 45 | 1 
329,16.0,10.0,495.0,90.0, 45 | 2 
154,8.0,7.0,505.0,91.0, 46 | 1 
399,19.0,16.0,506.0,92.0, 46 | 2 
1,1.0,3.0,516.0,93.0, 47 | 1 
35,2.0,17.0,517.0,94.0, 47 | 2 
406,20.0,1.0,527.0,95.0, 48 | 1 
116,6.0,12.0,528.0,96.0, 48 | 2 
247,12.0,15.0,538.0,97.0, 49 | 1 
128,7.0,2.0,539.0,98.0, 49 | 2 
142,7.0,17.0,549.0,99.0, 50 | 1 
234,12.0,2.0,550.0,100.0, 50 | 2 
262,13.0,8.0,560.0,101.0, 51 | 1 
446,21.0,20.0,561.0,102.0, 51 | 2 
224,11.0,12.0,571.0,103.0, 52 | 1 
449,22.0,2.0,572.0,104.0, 52 | 2 
67,4.0,6.0,582.0,105.0, 53 | 1 
313,15.0,16.0,583.0,106.0, 53 | 2 
145,7.0,20.0,593.0,107.0, 54 | 1 
195,10.0,5.0,594.0,108.0, 54 | 2 
341,17.0,1.0,604.0,109.0, 55 | 1 
273,13.0,19.0,605.0,110.0, 55 | 2 
158,8.0,11.0,615.0,111.0, 56 | 1 
382,18.0,21.0,616.0,112.0, 56 | 2 
10,1.0,13.0,626.0,113.0, 57 | 1 
391,19.0,8.0,627.0,114.0, 57 | 2 
126,6.0,22.0,637.0,115.0, 58 | 1 
110,6.0,6.0,638.0,116.0, 58 | 2 
105,6.0,1.0,648.0,117.0, 59 | 1 
289,14.0,13.0,649.0,118.0, 59 | 2 
386,19.0,3.0,659.0,119.0, 60 | 1 
181,9.0,13.0,660.0,120.0, 60 | 2 
397,19.0,14.0,670.0,121.0, 61 | 1 
92,5.0,10.0,671.0,122.0, 61 | 2 
38,2.0,20.0,681.0,123.0, 62 | 1 
197,10.0,7.0,682.0,124.0, 62 | 2 
338,16.0,20.0,692.0,125.0, 63 | 1 
454,22.0,7.0,693.0,126.0, 63 | 2 
215,11.0,3.0,703.0,127.0, 64 | 1 
271,13.0,17.0,704.0,128.0, 64 | 2 
326,16.0,7.0,714.0,129.0, 65 | 1 
448,21.0,22.0,715.0,130.0, 65 | 2 
183,9.0,15.0,725.0,131.0, 66 | 1 
278,14.0,2.0,726.0,132.0, 66 | 2 
333,16.0,14.0,736.0,133.0, 67 | 1 
427,21.0,1.0,737.0,134.0, 67 | 2 
153,8.0,6.0,747.0,135.0, 68 | 1 
458,22.0,11.0,748.0,136.0, 68 | 2 
464,22.0,18.0,758.0,137.0, 69 | 1 
238,12.0,6.0,759.0,138.0, 69 | 2 
409,20.0,4.0,769.0,139.0, 70 | 1 
315,15.0,18.0,770.0,140.0, 70 | 2 
223,11.0,11.0,780.0,141.0, 71 | 1 
40,2.0,22.0,781.0,142.0, 71 | 2 
22,2.0,4.0,791.0,143.0, 72 | 1 
306,15.0,9.0,792.0,144.0, 72 | 2 
48,3.0,9.0,802.0,145.0, 73 | 1 
379,18.0,18.0,803.0,146.0, 73 | 2 
130,7.0,4.0,813.0,147.0, 74 | 1 
292,14.0,16.0,814.0,148.0, 74 | 2 
456,22.0,9.0,824.0,149.0, 75 | 1 
185,9.0,17.0,825.0,150.0, 75 | 2 
241,12.0,9.0,835.0,151.0, 76 | 1 
404,19.0,21.0,836.0,152.0, 76 | 2 
75,4.0,14.0,846.0,153.0, 77 | 1 
389,19.0,6.0,847.0,154.0, 77 | 2 
308,15.0,11.0,857.0,155.0, 78 | 1 
24,2.0,6.0,858.0,156.0, 78 | 2 
191,10.0,1.0,868.0,157.0, 79 | 1 
231,11.0,19.0,869.0,158.0, 79 | 2 
395,19.0,12.0,879.0,159.0, 80 | 1 
56,3.0,17.0,880.0,160.0, 80 | 2 
443,21.0,17.0,890.0,161.0, 81 | 1 
343,17.0,3.0,891.0,162.0, 81 | 2 
362,17.0,22.0,901.0,163.0, 82 | 1 
198,10.0,8.0,902.0,164.0, 82 | 2 
356,17.0,16.0,912.0,165.0, 83 | 1 
69,4.0,8.0,913.0,166.0, 83 | 2 
120,6.0,16.0,923.0,167.0, 84 | 1 
148,8.0,1.0,924.0,168.0, 84 | 2 
325,16.0,6.0,934.0,169.0, 85 | 1 
253,12.0,21.0,935.0,170.0, 85 | 2 
9,1.0,12.0,945.0,171.0, 86 | 1 
385,19.0,2.0,946.0,172.0, 86 | 2 
135,7.0,10.0,956.0,173.0, 87 | 1 
402,19.0,19.0,957.0,174.0, 87 | 2 
298,15.0,1.0,967.0,175.0, 88 | 1 
206,10.0,16.0,968.0,176.0, 88 | 2 
152,8.0,5.0,978.0,177.0, 89 | 1 
124,6.0,20.0,979.0,178.0, 89 | 2 
50,3.0,11.0,989.0,179.0, 90 | 1 
370,18.0,8.0,990.0,180.0, 90 | 2 
44,3.0,4.0,1000.0,181.0, 91 | 1 
310,15.0,13.0,1001.0,182.0, 91 | 2 
466,22.0,20.0,1011.0,183.0, 92 | 1 
258,13.0,4.0,1012.0,184.0, 92 | 2 
225,11.0,13.0,1022.0,185.0, 93 | 1 
428,21.0,2.0,1023.0,186.0, 93 | 2 
118,6.0,14.0,1033.0,187.0, 94 | 1 
416,20.0,11.0,1034.0,188.0, 94 | 2 
366,18.0,4.0,1044.0,189.0, 95 | 1 
165,8.0,18.0,1045.0,190.0, 95 | 2 
200,10.0,10.0,1055.0,191.0, 96 | 1 
425,20.0,21.0,1056.0,192.0, 96 | 2 
58,3.0,19.0,1066.0,193.0, 97 | 1 
350,17.0,10.0,1067.0,194.0, 97 | 2 
46,3.0,7.0,1077.0,195.0, 98 | 1 
212,10.0,22.0,1078.0,196.0, 98 | 2 
172,9.0,3.0,1088.0,197.0, 99 | 1 
249,12.0,17.0,1089.0,198.0, 99 | 2 
412,20.0,7.0,1099.0,199.0, 100 | 1 
162,8.0,15.0,1100.0,200.0, 100 | 2 
381,18.0,20.0,1110.0,201.0, 101 | 1 
237,12.0,5.0,1111.0,202.0, 101 | 2 
440,21.0,14.0,1121.0,203.0, 102 | 1 
98,5.0,16.0,1122.0,204.0, 102 | 2 
41,3.0,1.0,1132.0,205.0, 103 | 1 
265,13.0,11.0,1133.0,206.0, 103 | 2 
353,17.0,13.0,1143.0,207.0, 104 | 1 
108,6.0,4.0,1144.0,208.0, 104 | 2 
71,4.0,10.0,1154.0,209.0, 105 | 1 
368,18.0,6.0,1155.0,210.0, 105 | 2 
299,15.0,2.0,1165.0,211.0, 106 | 1 
423,20.0,19.0,1166.0,212.0, 106 | 2 
53,3.0,14.0,1176.0,213.0, 107 | 1 
214,11.0,2.0,1177.0,214.0, 107 | 2 
167,8.0,20.0,1187.0,215.0, 108 | 1 
